date,open,close,high,low
22-12-2020,45.74,49.09,49.22,45.73
21-12-2020,45.56,45.75,45.78,43.41
18-12-2020,44.69,45.67,46.51,44.47
17-12-2020,43.45,44.75,44.84,43.04
16-12-2020,43.0,43.23,43.79,42.38
15-12-2020,40.52,42.82,43.13,40.34
14-12-2020,41.36,40.02,42.17,40.02
11-12-2020,41.85,41.27,42.38,41.01
10-12-2020,43.14,42.11,43.52,41.18
09-12-2020,43.82,42.58,44.73,42.24
08-12-2020,41.6,43.81,43.99,41.32
07-12-2020,40.87,41.55,41.99,40.85
04-12-2020,39.36,40.7,40.71,38.86
03-12-2020,40.38,39.3,40.59,39.25
02-12-2020,41.52,40.42,41.52,39.18
01-12-2020,42.32,41.46,42.81,41.25
30-11-2020,42.21,42.23,43.11,41.14
27-11-2020,41.8,41.74,42.5,41.23
26-11-2020,41.27,41.67,42.0,41.08
25-11-2020,41.75,41.21,42.44,40.21
24-11-2020,42.66,41.35,43.99,40.67
23-11-2020,40.03,42.76,42.82,40.03
20-11-2020,38.94,39.86,39.94,38.74
19-11-2020,37.58,38.88,39.16,37.58
18-11-2020,36.55,37.56,38.02,36.55
17-11-2020,37.08,37.02,37.27,35.97
16-11-2020,36.46,37.05,37.18,36.27
13-11-2020,36.13,35.99,36.79,35.4
12-11-2020,35.91,35.83,36.54,35.52
11-11-2020,33.7,35.95,35.95,33.7
10-11-2020,34.22,33.65,34.88,33.28
09-11-2020,34.89,34.22,35.07,33.46
06-11-2020,33.17,33.05,33.41,32.46
05-11-2020,32.18,33.44,33.51,32.18
04-11-2020,32.08,32.08,32.36,30.69
03-11-2020,30.62,32.19,32.28,30.62
02-11-2020,28.68,30.49,30.52,28.68
30-10-2020,28.48,28.9,29.31,28.41
29-10-2020,28.37,29.04,29.3,28.22
28-10-2020,29.81,27.9,29.88,27.89
27-10-2020,29.63,29.92,30.31,29.42
26-10-2020,30.53,29.47,30.65,29.21
23-10-2020,30.41,30.9,31.65,30.12
22-10-2020,30.18,30.61,30.72,29.21
21-10-2020,31.82,30.35,32.24,30.34
20-10-2020,32.24,31.84,32.54,31.76
19-10-2020,33.0,32.2,33.35,32.19
16-10-2020,33.23,33.06,33.7,32.9
15-10-2020,34.86,33.3,34.9,31.92
14-10-2020,34.98,34.8,35.29,34.59
13-10-2020,35.79,34.94,36.04,34.59
12-10-2020,34.63,35.38,36.34,34.63
09-10-2020,34.44,34.39,34.66,33.94
08-10-2020,34.8,34.29,35.79,34.09
07-10-2020,33.21,34.71,34.74,32.97
06-10-2020,32.82,32.87,33.47,32.64
05-10-2020,31.53,32.93,32.97,31.33
02-10-2020,31.36,31.26,31.74,30.52
01-10-2020,30.13,31.38,31.52,30.03
30-09-2020,29.63,29.81,30.11,29.15
29-09-2020,30.04,29.74,30.2,29.23
28-09-2020,28.81,29.89,29.98,28.78
25-09-2020,27.73,28.55,28.65,27.13
24-09-2020,28.59,27.65,28.64,27.34
23-09-2020,30.18,28.74,30.32,28.63
22-09-2020,29.57,29.97,30.17,29.15
21-09-2020,31.02,29.62,31.03,28.73
18-09-2020,30.83,31.2,31.43,30.54
17-09-2020,30.29,30.74,30.85,29.99
16-09-2020,29.32,30.56,30.65,29.03
15-09-2020,29.06,29.22,29.51,28.63
14-09-2020,29.4,29.3,30.07,28.62
11-09-2020,30.25,29.39,30.33,29.18
10-09-2020,30.52,30.1,30.73,29.92
09-09-2020,29.97,30.54,30.65,29.74
08-09-2020,30.81,29.95,30.91,29.26
07-09-2020,29.59,30.69,30.76,29.44
04-09-2020,28.91,29.47,30.43,28.13
03-09-2020,32.21,29.27,32.47,29.0
02-09-2020,32.4,32.23,33.26,31.72
01-09-2020,31.48,32.34,32.4,31.26
31-08-2020,31.72,31.79,32.06,31.6
28-08-2020,31.78,31.67,32.0,31.37
27-08-2020,32.29,31.57,32.51,31.43
26-08-2020,31.24,32.12,32.63,31.2
25-08-2020,31.56,31.26,32.09,31.03
24-08-2020,31.82,31.66,32.61,31.12
21-08-2020,30.9,31.53,31.96,30.9
20-08-2020,32.27,31.28,32.37,30.91
19-08-2020,31.97,32.22,32.82,31.97
18-08-2020,30.64,32.03,32.04,30.6
17-08-2020,29.75,30.68,30.75,29.54
14-08-2020,30.38,29.64,30.53,29.54
13-08-2020,29.37,30.15,30.49,29.17
12-08-2020,30.02,29.53,30.02,29.05
11-08-2020,30.27,29.76,30.69,29.75
10-08-2020,30.27,30.11,30.71,29.85
07-08-2020,29.64,30.1,30.54,29.31
06-08-2020,28.94,29.55,29.88,28.82
05-08-2020,29.0,29.02,29.38,28.72
04-08-2020,29.24,29.02,30.52,28.71
03-08-2020,27.54,29.63,29.74,27.54
